nome,cliente,responsavel,inicio,prazo,status,progresso,descricao
BR CARAT PROJETO,BR CARAT,"JONAS, LONGUINI",2026-06-01,2026-06-15,em andamento,83,""
BR CARAT OBRA REFORMA,BR CARAT,"JONAS, LONGUINI",2026-06-15,2026-07-31,em andamento,0,""
VIP REFORMA REESTRUTURAÇÃO,VIP,"JONAS, LONGUINI",2026-06-15,2026-07-15,em andamento,0,""
5.8 INTERNET SALA MARKETING,MARKETING,"JONAS, LONGUINI",2026-06-15,2026-07-15,em andamento,0,""
MEGACAR DOCUMENTAÇÃO,MEGA CAR,JONAS,2026-06-01,2026-06-20,em andamento,95,""
MEGACAR IMPLEMENTAÇÃO,MEGA CAR,"JONAS, SANTANA, RAFAEL",2026-06-20,2026-07-11,em andamento,0,""
MEGACAR AJUSTES E ATUALIZAÇÕES,MEGA CAR,JONAS,2026-06-10,2026-07-31,em andamento,0,""
DIGITAL BONUS PROGRAMA APLICATIVO,GRUPO SANTANA,"JONAS, COLLETO",2026-06-01,2026-06-30,em andamento,92,""
DIGITAL BONUS IMPLANTAÇÃO,GRUPO SANTANA,"JONAS, COLLETO, MARKETING",2026-07-01,2026-07-18,em andamento,0,""
DIGITAL BONUS FASE FINAL,GRUPO SANTANA,"JONAS, COLLETO, MARKETING",2026-07-15,2026-07-31,em andamento,0,""
MARKETING SITES,MARKETING,"JONAS, COLLETO, MARKETING",2026-06-01,2026-06-25,em andamento,54,""
CARTAO VISITA DIGITAL,GRUPO SANTANA,"JONAS, LUIS, SANTANA",2026-06-01,2026-06-15,concluído,100,""
CARTÃO DE VISITA DIGITAL,GRUPO SANTANA,"JONAS, CRIAR EMPRESA",2026-06-15,2026-07-02,em andamento,0,""
CHARLESCONTRA PROPOSTA,SANTANA,"JONAS, SANTANA",2026-06-08,2026-06-19,em andamento,49,""
DESLIGAMENTO TORRES,5.8 E VIP,"JONAS, ELAINE",2026-06-15,2026-07-31,em andamento,41,""
